110105040,北京市,市辖区,朝阳区,黑庄户地区办事处,3,398533240,1165966620
110105041,北京市,市辖区,朝阳区,豆各庄地区办事处,3,398591100,1165645910
110105042,北京市,市辖区,朝阳区,王四营地区办事处,3,398754350,1165309390
110105043,北京市,市辖区,朝阳区,首都机场街道办事处,3,400479225,1165918066
110105501,北京市,市辖区,朝阳区,望京开发街道办事处,3,400036140,1164741500
110106,北京市,市辖区,丰台区,,2,398292035,1162612191
110106002,北京市,市辖区,丰台区,太平桥街道办事处,3,398839730,1163199790
110106003,北京市,市辖区,丰台区,西罗园街道办事处,3,398635130,1163835670
110106004,北京市,市辖区,丰台区,大红门街道办事处,3,398388510,1164075030
110106005,北京市,市辖区,丰台区,南苑街道办事处,3,398095720,1164010750
110106006,北京市,市辖区,丰台区,东高地街道办事处,3,398082040,1164214890
110106007,北京市,市辖区,丰台区,东铁匠营街道办事处,3,398556330,1164292940
110106008,北京市,市辖区,丰台区,卢沟桥街道办事处,3,398704850,1162815600
110106009,北京市,市辖区,丰台区,丰台街道办事处,3,398488550,1162868530
110106010,北京市,市辖区,丰台区,新村街道办事处,3,398397050,1163084240
110106011,北京市,市辖区,丰台区,长辛店街道办事处,3,398261270,1162105470
110106012,北京市,市辖区,丰台区,云岗街道办事处,3,398117610,1161629090
110106013,北京市,市辖区,丰台区,方庄地区办事处,3,398614990,1164274240
110106014,北京市,市辖区,丰台区,宛平城地区办事处,3,398402559,1162375348
110106015,北京市,市辖区,丰台区,马家堡街道办事处,3,398523310,1163763220
110106016,北京市,市辖区,丰台区,和义街道办事处,3,398127160,1163961110
110106018,北京市,市辖区,丰台区,花乡地区办事处,3,398322145,1163304653
110106019,北京市,市辖区,丰台区,南苑地区办事处,3,398322145,1163304653
110106100,北京市,市辖区,丰台区,长辛店镇,3,398411805,1162092110
110106101,北京市,市辖区,丰台区,王佐镇,3,398016065,1161561440
110107,北京市,市辖区,石景山区,,2,399337840,1161859320
110107001,北京市,市辖区,石景山区,八宝山街道办事处,3,399015180,1162361630
110107002,北京市,市辖区,石景山区,老山街道办事处,3,399150790,1162475250
110107003,北京市,市辖区,石景山区,八角街道办事处,3,399158010,1161961840
110107004,北京市,市辖区,石景山区,古城街道办事处,3,399084330,1161835490
110107005,北京市,市辖区,石景山区,苹果园街道办事处,3,399467380,1161952150
110107006,北京市,市辖区,石景山区,金顶街街道办事处,3,399258160,1161686570
110107009,北京市,市辖区,石景山区,广宁街道办事处,3,399270780,1161459130
110107010,北京市,市辖区,石景山区,五里坨街道办事处,3,399564100,1161257670
110107011,北京市,市辖区,石景山区,鲁谷街道办事处,3,398974369,1162252090
110108,北京市,市辖区,海淀区,,2,400238144,1162219654
110108001,北京市,市辖区,海淀区,万寿路街道办事处,3,399060990,1162630090
110108002,北京市,市辖区,海淀区,永定路街道办事处,3,399102400,1162637370
110108003,北京市,市辖区,海淀区,羊坊店街道办事处,3,399117620,1163076630
110108004,北京市,市辖区,海淀区,甘家口街道办事处,3,400087150,1162829520
110108005,北京市,市辖区,海淀区,八里庄街道办事处,3,399269580,1163014910
110108006,北京市,市辖区,海淀区,紫竹院街道办事处,3,399444040,1163119300
110108007,北京市,市辖区,海淀区,北下关街道办事处,3,399581520,1163386450
110108008,北京市,市辖区,海淀区,北太平庄街道办事处,3,399504770,1163619280
110108010,北京市,市辖区,海淀区,学院路街道办事处,3,399937460,1163526140
110108011,北京市,市辖区,海淀区,中关村街道办事处,3,399792890,1163173390
110108012,北京市,市辖区,海淀区,海淀街道办事处,3,399811570,1163113440
110108013,北京市,市辖区,海淀区,青龙桥街道办事处,3,400052850,1162721990
110108014,北京市,市辖区,海淀区,清华园街道办事处,3,399995266,1163248424
